,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
139,Tasiilaq,GL,65.61,48.2,61,0,2.24
140,Hakui,JP,36.89,78.73,73,75,2.24
141,Longyearbyen,NO,78.22,51.8,71,0,5.82
142,Jamestown,AU,-33.21,49.86,82,17,4.23
143,Faanui,PF,-16.48,79.06,84,81,14.56
144,Bandarbeyla,SO,9.49,81.3,58,97,26.69
145,Lompoc,US,34.64,64.15,72,90,11.41
146,Kalaleh,IR,37.38,74.37,73,55,6.93
147,Boende,CD,-0.28,71.26,96,100,2.68
148,Hobart,AU,-42.88,48.54,71,20,14.99
149,Kautokeino,NO,69.01,41.52,78,77,12.66
150,Bredasdorp,ZA,-34.53,60.24,67,2,13.87
151,Srednekolymsk,RU,67.46,71.04,40,81,12.28
152,Mataura,NZ,-46.19,43.0,87,100,15.01
153,Thompson,CA,55.74,71.6,64,90,6.93
154,Cape Town,ZA,-33.93,56.23,93,90,12.75
155,Bandarbeyla,SO,9.49,81.3,58,97,26.69
156,Tasiilaq,GL,65.61,48.2,61,0,2.24
157,Seredka,RU,58.06,50.76,88,0,3.15
158,Saint-Philippe,CA,45.36,68.99,52,1,4.7
159,Pisco,PE,-13.71,62.26,88,90,9.17
160,Hobart,AU,-42.88,48.54,71,20,14.99
161,Bluff,AU,-23.58,61.44,82,100,12.5
162,Luena,AO,-11.78,47.26,50,56,2.64
163,Thompson,CA,55.74,71.6,64,90,6.93
164,East London,ZA,-33.02,49.67,78,0,8.1
165,Busselton,AU,-33.64,53.91,71,53,14.67
166,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
167,Nurma,RU,59.55,52.29,81,0,2.24
168,Rancho Palos Verdes,US,33.75,70.99,68,40,11.41
169,Busselton,AU,-33.64,53.91,71,53,14.67
170,Tasiilaq,GL,65.61,48.2,61,0,2.24
171,Puerto Narino,CO,-3.77,68.0,100,90,2.57
172,Hilo,US,19.71,80.42,62,90,10.29
173,Rikitea,PF,-23.12,71.9,82,100,39.19
174,San Anselmo,US,37.97,62.44,52,1,16.11
175,Rikitea,PF,-23.12,71.9,82,100,39.19
176,Punta Arenas,CL,-53.16,39.09,93,40,8.05
177,Ponta do Sol,BR,-20.63,46.76,69,0,4.32
178,Kavieng,PG,-2.57,83.44,74,6,9.51
179,Busselton,AU,-33.64,53.91,71,53,14.67
180,Bulgan,MN,48.81,70.0,48,0,3.85
181,Vaini,IN,15.34,73.4,88,75,13.87
182,Fortuna,US,40.6,66.22,72,75,13.87
183,Weihai,CN,37.5,77.38,40,0,1.99
184,Hermanus,ZA,-34.42,57.67,74,39,7.0
185,Margate,AU,-43.03,49.1,71,20,14.99
186,Nikolskoye,RU,59.7,52.45,81,23,2.24
187,San Vicente,EC,-0.59,73.4,88,75,11.41
188,Cape Town,ZA,-33.93,56.23,93,90,12.75
189,Mitsamiouli,KM,-11.38,77.63,82,35,17.6
190,Atuona,PF,-9.8,80.06,76,3,13.35
191,Novyy Starodub,UA,48.52,64.4,93,75,4.47
192,Phalombe,MW,-15.81,57.47,41,12,3.96
193,Pontes e Lacerda,BR,-15.23,59.05,46,0,4.63
194,Mataura,NZ,-46.19,43.0,87,100,15.01
195,Saint-Augustin,CA,45.63,70.03,46,20,4.7
196,Hilo,US,19.71,80.42,62,90,10.29
197,Nikolskoye,RU,59.7,52.45,81,23,2.24
198,Lusambo,CD,-4.97,65.32,56,10,1.45
199,Bredasdorp,ZA,-34.53,60.24,67,2,13.87
200,Dikson,RU,73.51,32.92,93,90,17.83
201,Ahipara,NZ,-35.17,57.9,69,93,20.02
202,Ilulissat,GL,69.22,51.8,53,75,5.44
203,Busselton,AU,-33.64,53.91,71,53,14.67
204,Hobart,AU,-42.88,48.54,71,20,14.99
205,Torbay,CA,47.66,57.42,93,20,2.24
206,Port Elizabeth,US,39.31,74.73,88,75,5.82
207,Ushuaia,AR,-54.81,39.2,92,20,5.82
208,Portage,US,41.58,71.11,45,1,3.36
209,Qaanaaq,GL,77.48,43.57,65,100,2.75
210,Kapaa,US,22.08,82.36,66,1,13.87
211,Mari,BR,-7.06,69.8,94,40,6.93
212,Hilo,US,19.71,80.42,62,90,10.29
213,Souillac,FR,45.6,63.12,93,0,3.36
214,Ryotsu,JP,38.08,75.47,78,53,4.7
215,Ilulissat,GL,69.22,51.8,53,75,5.44
216,New Norfolk,AU,-42.78,48.78,71,20,14.99
217,New Norfolk,AU,-42.78,48.78,71,20,14.99
218,Forestville,CA,48.74,62.6,51,20,6.93
219,Bad Windsheim,DE,49.5,53.28,100,90,3.36
220,Faanui,PF,-16.48,79.06,84,81,14.56
221,Campos Altos,BR,-19.7,44.49,75,0,5.28
222,Bambous Virieux,MU,-20.34,69.91,100,75,2.24
223,Kenai,US,60.55,76.12,53,1,6.93
224,Ostrovnoy,RU,68.05,39.31,88,100,18.68
225,Bathsheba,BB,13.22,82.4,78,40,17.22
226,Qaanaaq,GL,77.48,43.57,65,100,2.75
227,Kamaishi,JP,39.28,68.0,64,40,5.82
228,Kahului,US,20.89,81.43,52,40,24.16
229,Marystown,CA,47.17,53.2,76,0,9.8
230,Hithadhoo,MV,-0.6,84.06,76,0,14.25
231,Jamestown,AU,-33.21,49.86,82,17,4.23
232,Kapaa,US,22.08,82.36,66,1,13.87
233,Bondo,CD,3.81,68.38,98,100,1.23
234,Avarua,CK,-21.21,77.0,69,99,14.99
235,Yellowknife,CA,62.45,50.0,81,90,14.99
236,Vaini,IN,15.34,73.4,88,75,13.87
237,Port Alfred,ZA,-33.59,57.99,71,0,5.01
238,Mataura,NZ,-46.19,43.0,87,100,15.01
239,Kapaa,US,22.08,82.36,66,1,13.87
240,Kruisfontein,ZA,-34.0,48.33,84,2,7.16
241,Port Alfred,ZA,-33.59,57.99,71,0,5.01
242,Birao,CF,10.3,72.86,90,100,7.14
243,Mumford,GH,5.26,71.47,97,94,4.41
244,Atuona,PF,-9.8,80.06,76,3,13.35
245,Arraial do Cabo,BR,-22.97,63.16,76,96,9.17
246,Port Elizabeth,US,39.31,74.73,88,75,5.82
247,Ilulissat,GL,69.22,51.8,53,75,5.44
248,Yulara,AU,-25.24,60.8,41,0,16.11
249,Ponta Delgada,PT,37.73,68.0,94,75,4.7
250,Cape Town,ZA,-33.93,56.23,93,90,12.75
251,Punta Arenas,CL,-53.16,39.09,93,40,8.05
252,Koltubanovskiy,RU,52.94,61.45,75,100,4.99
253,Tasiilaq,GL,65.61,48.2,61,0,2.24
254,Santiago del Estero,AR,-27.8,50.77,46,56,9.75
255,Walvis Bay,NA,-22.95,53.33,58,0,4.7
256,Hobart,AU,-42.88,48.54,71,20,14.99
257,Mbumi,TZ,-7.91,68.77,97,39,1.32
258,Hofn,IS,64.25,36.41,92,100,5.08
259,San Vicente,EC,-0.59,73.4,88,75,11.41
260,Longyearbyen,NO,78.22,51.8,71,0,5.82
261,Vila,IT,45.18,71.64,77,0,5.82
262,Avarua,CK,-21.21,77.0,69,99,14.99
263,Torbay,CA,47.66,57.42,93,20,2.24
264,Sokoni,CD,-12.89,48.42,58,0,4.09
265,Pevek,RU,69.7,46.38,71,78,10.13
266,Cidreira,BR,-30.17,43.78,89,15,1.54
267,Castro,CL,-42.48,50.0,100,75,21.92
268,Tibagi,BR,-24.52,36.84,97,1,1.43
269,Hithadhoo,MV,-0.6,84.06,76,0,14.25
270,Chuy,UY,-33.69,42.66,76,100,7.38
271,Simplicio Mendes,BR,-7.85,79.57,54,99,2.75
272,Pacific Grove,US,36.62,65.73,72,90,10.29
273,Mar del Plata,AR,-46.43,41.48,79,100,6.2
274,Slave Lake,CA,55.28,59.0,87,90,8.05
275,Mataura,NZ,-46.19,43.0,87,100,15.01
276,Kununurra,AU,-15.77,78.8,29,0,13.87
277,Bathsheba,BB,13.22,82.4,78,40,17.22
278,Kumba,CM,4.64,71.46,95,55,2.62
279,Shetpe,KZ,44.14,78.53,50,0,5.14
280,Georgetown,GY,6.8,79.52,78,20,9.17
281,Khatanga,RU,71.98,51.87,73,100,6.22
282,Carnarvon,ZA,-30.97,42.63,80,32,7.78
283,Lasa,CY,34.92,72.77,77,0,5.82
284,Swan Hill,AU,-35.34,58.55,64,0,8.55
285,Mataura,NZ,-46.19,43.0,87,100,15.01
286,Muroto,JP,33.37,78.8,74,75,4.7
287,New Norfolk,AU,-42.78,48.78,71,20,14.99
288,Kodinsk,RU,58.6,79.66,36,51,7.07
289,Port Alfred,ZA,-33.59,57.99,71,0,5.01
290,Evensk,RU,61.92,61.21,56,92,8.59
291,Prince Rupert,CA,54.32,60.8,82,20,6.93
292,Oktyabrskiy,RU,55.61,56.44,82,73,3.8
293,Dongsheng,CN,29.72,76.78,86,100,6.08
294,Chapais,CA,49.78,64.4,45,1,3.36
295,Nagato,JP,34.35,77.59,83,75,6.93
296,Mataura,NZ,-46.19,43.0,87,100,15.01
297,Isangel,VU,-19.55,78.8,65,75,11.41
298,Cabo San Lucas,MX,22.89,84.36,47,90,11.41
299,Port Elizabeth,US,39.31,74.73,88,75,5.82
300,Ossora,RU,59.24,55.33,70,87,5.12
301,Labuhan,ID,-2.54,73.1,75,78,1.32
302,Port Hardy,CA,50.7,62.6,72,40,9.17
303,Bredasdorp,ZA,-34.53,60.24,67,2,13.87
304,Ponta do Sol,BR,-20.63,46.76,69,0,4.32
305,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
306,Te Anau,NZ,-45.41,41.14,65,50,7.38
307,Pemberton,AU,-34.44,53.01,99,34,3.85
308,Hermanus,ZA,-34.42,57.67,74,39,7.0
309,Tuktoyaktuk,CA,69.44,44.6,81,75,9.17
310,Punta Arenas,CL,-53.16,39.09,93,40,8.05
311,Qaanaaq,GL,77.48,43.57,65,100,2.75
312,Yarada,IN,17.65,82.4,83,75,6.93
313,Grand Gaube,MU,-20.01,69.89,100,75,2.24
314,Chuy,UY,-33.69,42.66,76,100,7.38
315,Tasiilaq,GL,65.61,48.2,61,0,2.24
316,Narsaq,GL,60.91,62.6,23,98,33.33
317,Tasiilaq,GL,65.61,48.2,61,0,2.24
318,Le Mars,US,42.79,77.97,73,1,7.52
319,Kolda,SN,12.89,79.12,76,100,5.5
320,Pauini,BR,-7.71,70.4,71,1,3.04
321,Provideniya,RU,64.42,64.4,55,0,6.71
322,Ushuaia,AR,-54.81,39.2,92,20,5.82
323,Iqaluit,CA,63.75,46.18,100,90,2.24
324,Kasongo-Lunda,CD,-6.48,60.53,60,53,1.61
325,Pangnirtung,CA,66.15,45.0,86,100,1.3
326,Hilo,US,19.71,80.42,62,90,10.29
327,Ukiah,US,39.15,68.13,30,1,13.87
328,Puerto Escondido,MX,15.86,84.2,74,20,3.36
329,Haines Junction,CA,60.75,68.7,38,39,5.14
330,Kavieng,PG,-2.57,83.44,74,6,9.51
331,Qaanaaq,GL,77.48,43.57,65,100,2.75
332,Mount Pleasant,US,33.16,79.99,83,1,3.4
333,Poum,MK,41.28,59.29,73,5,2.06
334,Tasiilaq,GL,65.61,48.2,61,0,2.24
335,Yellowknife,CA,62.45,50.0,81,90,14.99
336,Nabire,ID,-3.36,79.21,70,89,3.65
337,Maniitsoq,GL,65.42,51.49,59,0,12.97
338,Nikolskoye,RU,59.7,52.45,81,23,2.24
339,Havre,US,48.55,75.83,39,1,15.23
340,Ushuaia,AR,-54.81,39.2,92,20,5.82
341,Petropavlovsk-Kamchatskiy,RU,53.05,50.0,100,90,13.42
342,Qaanaaq,GL,77.48,43.57,65,100,2.75
343,Hilo,US,19.71,80.42,62,90,10.29
344,Monywa,MM,22.12,85.78,66,95,16.06
345,Haines Junction,CA,60.75,68.7,38,39,5.14
346,Barrow,AR,-38.31,47.11,73,100,13.15
347,Stokmarknes,NO,68.56,50.92,83,100,25.01
348,East London,ZA,-33.02,49.67,78,0,8.1
349,Busselton,AU,-33.64,53.91,71,53,14.67
350,Rikitea,PF,-23.12,71.9,82,100,39.19
351,Barrow,AR,-38.31,47.11,73,100,13.15
352,Walvis Bay,NA,-22.95,53.33,58,0,4.7
353,Clyde River,CA,70.47,37.4,100,90,8.05
354,Ancud,CL,-41.87,50.0,100,75,21.92
355,Ushuaia,AR,-54.81,39.2,92,20,5.82
356,Rikitea,PF,-23.12,71.9,82,100,39.19
357,Albany,US,42.65,64.92,49,40,5.79
358,Esso,RU,55.93,47.53,73,100,5.91
359,Albany,US,42.65,64.92,49,40,5.79
360,Puerto Ayacucho,CO,5.66,80.6,83,40,5.82
361,Zihuatanejo,MX,17.64,89.6,62,40,5.82
362,Cherskiy,RU,68.75,68.7,44,72,5.46
363,Vokhtoga,RU,58.81,50.58,96,100,3.4
364,Thompson,CA,55.74,71.6,64,90,6.93
365,Mehamn,NO,71.03,47.71,65,63,6.04
366,Hilo,US,19.71,80.42,62,90,10.29
367,Rikitea,PF,-23.12,71.9,82,100,39.19
368,Tadine,NC,-21.55,68.16,69,11,19.24
369,Mataura,NZ,-46.19,43.0,87,100,15.01
370,Sindor,RU,62.87,54.59,72,95,7.43
371,Senanga,ZM,-16.1,48.2,23,0,4.32
372,Agadez,NE,16.97,89.6,33,1,4.7
373,Omidiyeh,IR,30.76,85.75,23,0,11.41
374,Banfora,BF,10.64,73.54,92,90,5.23
375,Kahului,US,20.89,81.43,52,40,24.16
376,Hobart,AU,-42.88,48.54,71,20,14.99
377,Bredasdorp,ZA,-34.53,60.24,67,2,13.87
378,Ushuaia,AR,-54.81,39.2,92,20,5.82
379,Kavaratti,IN,10.57,84.24,78,100,16.91
380,Carnarvon,ZA,-30.97,42.63,80,32,7.78
381,Port Elizabeth,US,39.31,74.73,88,75,5.82
382,Klaksvik,FO,62.23,48.2,100,59,8.05
383,Jamestown,AU,-33.21,49.86,82,17,4.23
384,Verkhoyansk,RU,67.55,73.49,33,100,14.18
385,Tessalit,ML,20.2,87.3,26,0,7.34
386,Nanortalik,GL,60.14,48.04,56,99,8.75
387,Dwarka,IN,28.58,87.6,79,40,12.12
388,Dikson,RU,73.51,32.92,93,90,17.83
389,Christchurch,NZ,-43.53,50.72,66,79,10.29
390,Port Alfred,ZA,-33.59,57.99,71,0,5.01
391,Butaritari,KI,3.07,80.73,83,100,15.75
392,Praia,BR,-20.25,57.74,62,0,9.17
393,Dukhovshchina,RU,55.19,47.86,97,32,4.34
394,Rikitea,PF,-23.12,71.9,82,100,39.19
395,Farias Brito,BR,-6.93,78.8,54,20,3.78
396,Zafra,ES,38.43,55.65,90,0,3.38
397,Ilulissat,GL,69.22,51.8,53,75,5.44
398,Tabou,CI,4.42,72.99,89,100,5.44
399,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
400,Inta,RU,66.04,54.52,60,31,10.69
401,Saskylakh,RU,71.97,55.34,67,96,6.15
402,Ushuaia,AR,-54.81,39.2,92,20,5.82
403,Karasjok,NO,69.47,50.0,66,41,9.82
404,Bilma,NE,18.69,89.26,14,0,5.77
405,Altay,CN,47.83,67.96,45,13,7.74
406,Mataura,NZ,-46.19,43.0,87,100,15.01
407,Cidreira,BR,-30.17,43.78,89,15,1.54
408,Aklavik,CA,68.22,57.2,54,75,8.05
409,Hilo,US,19.71,80.42,62,90,10.29
410,Port-Gentil,GA,-0.72,73.94,84,99,14.07
411,Chokurdakh,RU,70.62,62.89,53,23,9.04
412,Hearst,CA,49.69,62.51,55,3,5.79
413,Aksu,KZ,52.04,69.8,60,0,6.71
414,Herat,AF,34.35,71.6,26,0,3.36
415,Freeport,BS,26.54,84.2,74,75,11.41
416,Rikitea,PF,-23.12,71.9,82,100,39.19
417,Mar del Plata,AR,-46.43,41.48,79,100,6.2
418,Kruisfontein,ZA,-34.0,48.33,84,2,7.16
419,East London,ZA,-33.02,49.67,78,0,8.1
420,Albany,US,42.65,64.92,49,40,5.79
421,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
422,Qasigiannguit,GL,68.82,51.8,53,75,5.48
423,Georgetown,GY,6.8,79.52,78,20,9.17
424,Alice Springs,AU,-23.7,60.8,51,0,6.93
425,Puerto Ayora,EC,-0.74,72.0,94,20,1.01
426,Barrow,AR,-38.31,47.11,73,100,13.15
427,Avarua,CK,-21.21,77.0,69,99,14.99
428,Khatanga,RU,71.98,51.87,73,100,6.22
429,Ribeira Grande,PT,38.52,71.6,83,100,22.5
430,San Ramon,NI,12.92,67.66,97,71,4.52
431,Mataura,NZ,-46.19,43.0,87,100,15.01
432,Punta Arenas,CL,-53.16,39.09,93,40,8.05
433,Narsaq,GL,60.91,62.6,23,98,33.33
434,The Valley,AI,18.22,82.13,74,40,9.17
435,Nikolskoye,RU,59.7,52.45,81,23,2.24
436,Hobart,AU,-42.88,48.54,71,20,14.99
437,Nanortalik,GL,60.14,48.04,56,99,8.75
438,Susuman,RU,62.78,59.86,47,38,6.87
439,Barranca,PE,-10.75,62.96,89,35,12.55
440,Puerto Madryn,AR,-42.77,48.54,54,100,13.29
441,Victoria,BN,5.28,79.03,94,75,7.18
442,Dingle,PH,11.0,86.95,67,4,10.33
443,Malacatancito,GT,15.24,48.76,90,100,4.85
444,Tasiilaq,GL,65.61,48.2,61,0,2.24
445,Mandan,US,46.83,79.84,69,1,13.87
446,Chuy,UY,-33.69,42.66,76,100,7.38
447,Port Lincoln,AU,-34.72,58.33,68,0,9.37
448,Saskylakh,RU,71.97,55.34,67,96,6.15
449,Ternate,PH,14.29,88.61,74,40,6.93
450,Mataura,NZ,-46.19,43.0,87,100,15.01
451,Rikitea,PF,-23.12,71.9,82,100,39.19
452,Dhilwan,IN,30.78,80.6,100,75,6.93
453,Jamestown,AU,-33.21,49.86,82,17,4.23
454,Saskylakh,RU,71.97,55.34,67,96,6.15
455,Seydi,NE,13.34,84.36,51,86,19.13
456,Ushuaia,AR,-54.81,39.2,92,20,5.82
457,Punta Arenas,CL,-53.16,39.09,93,40,8.05
458,Atuona,PF,-9.8,80.06,76,3,13.35
459,Busselton,AU,-33.64,54.93,68,12,14.0
460,Plonsk,PL,52.62,55.58,87,75,11.41
461,Ushuaia,AR,-54.81,39.2,92,20,5.82
462,Mataura,NZ,-46.19,42.01,89,100,18.01
463,Codrington,AU,-28.95,61.39,77,75,6.93
464,Upernavik,GL,72.79,43.41,71,100,11.18
465,Punta Arenas,CL,-53.16,39.09,93,40,8.05
466,Rikitea,PF,-23.12,71.9,82,100,39.19
467,Kapaa,US,22.08,82.36,66,1,13.87
468,Vaini,IN,15.34,73.4,88,75,13.87
469,Mataura,NZ,-46.19,42.01,89,100,18.01
470,Taoudenni,ML,22.68,93.27,20,0,4.29
471,Hilo,US,19.71,80.42,62,90,10.29
472,Mahebourg,MU,-20.41,69.91,100,75,2.24
473,Arraial do Cabo,BR,-22.97,63.16,76,96,9.17
474,New Norfolk,AU,-42.78,51.71,71,20,14.99
475,Grand-Santi,GF,4.27,70.41,98,34,1.1
476,Jamestown,AU,-33.21,55.35,66,50,7.76
477,Montebello,US,34.02,71.28,60,1,5.23
478,Grindavik,IS,63.84,46.26,81,0,10.29
479,Tasiilaq,GL,65.61,48.2,61,0,2.24
480,Airai,TL,-8.93,81.36,55,14,3.49
481,Egvekinot,RU,66.32,72.61,37,13,7.4
482,Vaini,IN,15.34,73.4,88,75,13.87
483,Atuona,PF,-9.8,80.06,76,3,13.35
484,Bluff,AU,-23.58,61.44,82,100,12.5
485,Abrau-Dyurso,RU,44.7,55.4,93,0,2.24
486,Atuona,PF,-9.8,80.06,76,3,13.35
487,Cidreira,BR,-30.17,43.78,89,15,1.54
488,Mgandu,TZ,-5.96,57.47,92,24,9.08
489,Kapaa,US,22.08,82.36,66,1,13.87
490,Mataura,NZ,-46.19,42.01,89,100,18.01
491,New Norfolk,AU,-42.78,51.71,71,20,14.99
492,Ipilan,PH,8.84,83.77,68,0,5.95
493,Alice Springs,AU,-23.7,60.8,51,0,6.93
494,Nemuro,JP,43.32,60.8,87,75,4.7
495,Hobart,AU,-42.88,48.54,71,20,14.99
496,Bluff,AU,-23.58,61.44,82,100,12.5
497,Kapaa,US,22.08,82.36,66,1,13.87
